id,Player,PTS,FGM,FGA,F3GM,F3GA,FTM,FTA,Oreb,DR,TR,AST,TOV,BS,EFF,OE,TS,eFG,PPP
1,LJ・ピーク,11.3965517241379,4.10344827586207,8.72413793103448,1.68965517241379,4.31034482758621,1.5,2.17241379310345,0.586206896551724,1.62068965517241,2.20689655172414,1.67241379310345,0.913793103448276,0.206896551724138,10.1724137931034,1.21864951768489,58.8664861783984,0.567193675889328,1.07577631664605
2,アイザイア・マーフィー,9.52727272727273,3.47272727272727,8.78181818181818,0.981818181818182,3.16363636363636,1.6,2.34545454545455,0.290909090909091,2.30909090909091,2.6,2.07272727272727,1.81818181818182,0.654545454545455,8.18181818181818,0.936857562408223,48.5400918926931,0.451345755693582,0.819057146429911
3,アイラ・ブラウン,14.0925925925926,5.51851851851852,11.2222222222222,0.666666666666667,2.05555555555556,2.38888888888889,3.83333333333333,2.07407407407407,5.25925925925926,7.33333333333333,3,1.7962962962963,0.962962962962963,18.6111111111111,1.2257636122178,54.5848396166867,0.521452145214521,0.958341728793069
4,アキ・チェンバース,9.38461538461539,3.65384615384615,8.34615384615385,1.34615384615385,4,0.730769230769231,0.903846153846154,0.692307692307692,1.92307692307692,2.61538461538462,1.86538461538462,1.07692307692308,0.076923076923077,8.03846153846154,1.06170598911071,53.6641154218351,0.518433179723502,0.955588626928801
5,アレックス・カーク,17.0857142857143,6.4,11.6571428571429,0.4,1.17142857142857,3.88571428571429,4.82857142857143,3.37142857142857,6.31428571428571,9.65714285714286,1.48571428571429,0.914285714285714,1,24.9714285714286,1.7379679144385,61.9868977527158,0.566176470588235,1.16260984524458
6,アレックス・デイビス,11.8888888888889,4.59259259259259,8,0.203703703703704,1.09259259259259,2.5,4.25925925925926,2.68518518518519,4.68518518518519,7.37037037037037,2.18518518518519,2.14814814814815,2.22222222222222,17.9444444444444,1.45873320537428,60.2025506376594,0.586805555555556,0.988909426987061
7,アレン・ダーラム,16.0285714285714,6.2,11.6,0.6,1.65714285714286,3.02857142857143,4.65714285714286,2.77142857142857,6.37142857142857,9.14285714285714,3.74285714285714,2.45714285714286,0.4,22.7428571428571,1.31558935361217,58.7164029138407,0.560344827586207,0.995174909529553
8,アンガス・ブラント,11.8070175438596,4.71929824561404,8.29824561403509,0.052631578947369,0.192982456140351,2.31578947368421,3.19298245614035,2.56140350877193,5.85964912280702,8.42105263157895,3.2280701754386,1.91228070175439,0.280701754385965,18.7368421052632,1.38225806451613,60.8411079771462,0.571881606765328,1.01649347510875
9,アンソニー・マクヘンリー,10.7173913043478,4.10869565217391,9.3695652173913,0.891304347826087,3.3695652173913,1.60869565217391,2.41304347826087,1.60869565217391,5.47826086956522,7.08695652173913,5.04347826086957,2.30434782608696,1.10869565217391,16.6739130434783,1.0431654676259,51.3712904301434,0.486078886310905,0.841526696708999
10,アンドリュー・ランダル,10.25,4,7.75,1,3,1.25,2,1.25,5.5,6.75,1.25,1.25,0,15,1.27777777777778,59.3858632676709,0.580645161290323,1.03744939271255
11,アンドレ・マレー,7.5,2.75,7,1.5,3.25,0.5,0.5,0.5,1.5,2,1.25,1.75,0,5,0.921052631578947,51.9390581717452,0.5,0.836120401337793
12,ウィリアムスニカ,10.7666666666667,4.26666666666667,6.63333333333333,0.016666666666667,0.016666666666667,2.21666666666667,3.45,2.61666666666667,3.43333333333333,6.05,0.966666666666667,2.08333333333333,0.55,13.2666666666667,1.66037735849057,66.0423652572176,0.644472361809045,1.0519801980198
13,ウィル・クリークモア,17.25,5.5,11.75,1.5,4.25,4.75,5.75,2,5.75,7.75,2.25,1.75,1,23,1.41818181818182,60.3991596638656,0.531914893617021,1.07610729881472
14,ウェイン・マーシャル,17,5.95454545454545,11.1590909090909,1.13636363636364,3.15909090909091,3.95454545454545,5.18181818181818,2,4.25,6.25,2.18181818181818,1.81818181818182,1.31818181818182,20.4318181818182,1.45768566493955,63.2483257796117,0.584521384928717,1.11422272537687
15,エドワード・モリス,2.68181818181818,0.954545454545455,2.36363636363636,0.090909090909091,0.363636363636364,0.681818181818182,1.11363636363636,1.15909090909091,2.11363636363636,3.27272727272727,0.590909090909091,0.522727272727273,0.295454545454546,4.36363636363636,1.41176470588235,46.9894870978018,0.423076923076923,0.794291868605277
